que that
dirigido directed
consecuencia consequence
colaboración collaboration
aparecen appear
colores colours
colores colors
per per
materiales material
materiales materials
carta charter
carta letter
centros centers
centros centres
categorías categories
curso course
tenido had
fiestas festivities
fiestas parties
fiestas festivals
fiestas holidays
simplemente simply
simplemente just
japonés japanese
opinión opinion
franco frank
franco franco
franco franc
temperatura temperature
propuesta proposal
propuesta proposition
propuesta proposed
eds eds
decreto decree
decisión decision
concepción concepcion
concepción design
concepción conception
concepción concepción
cara cara
cara face
carolina caroline
carolina carolina
lee lee
botánica botany
botánica botanical
botánica botanist
botánica botanic
residiendo residing
maria mary
maria maria
editor publisher
editor editor
polonia polish
polonia poland
hogar household
hogar home
experiencia expertise
experiencia experience
abierto open
noroeste northwestern
noroeste northwest
participantes participating
participantes contestants
participantes participants
participantes participant
instituciones institutional
instituciones institutions
monasterio monastery
castro castro
sean sean
amerindios amerindian
suecia swedish
suecia sweden
inicialmente initially
nota note
concurso competition
concurso contest
seguir follow
marqués marquess
marqués marquis
altitud altitude
altitud elevation
dólares dollars
actuación performance
actuación acting
peces fishes
peces fish
ascenso promotion
ascenso ascent
ascenso climb
planeta planet
monumento memorial
monumento monuments
monumento monument
israel israel
marcha march
representación representation
turismo tourism
turismo tourist
turismo sightseeing
publicaciones posts
publicaciones publications
publicaciones publishing
ingeniería engineering
frecuencia frequency
semanas weeks
basado based
saber know
saber saber
olímpico olympic
olímpico olympian
utilizar use
piezas parts
piezas pieces
participar participate
poner put
poner putting
corea korean
corea korea
borrado deleted
borrado erased
borrado erasure
borrado deletion
carmen carmen
carmen carmel
creada created
religión religion
técnicas techniques
estaciones seasons
estaciones stations
escuelas schools
elección election
elección choice
clases lessons
clases classes
clases class
completamente fully
completamente completely
vuelo flying
vuelo flight
xiii xiii
parlamento parliament
titular headline
titular holder
florida florida
económico economics
económico economic
descrito described
rápidamente rapidly
rápidamente quickly
sabe knows
league league
nave ship
isleños islander
isleños islanders
posibilidad possibility
destaca highlights
html html
anderson anderson
directo straight
directo direct
usado used
usado worn
sucesor successor
presidencia chairmanship
presidencia presidential
presidencia presidency
contrario opposite
contrario contrary
totalmente fully
totalmente completely
totalmente totally
andalucía andalusia
andalucía andalucia
oficialmente officially
volver back
autoridades authorities
pista track
pista runway
pista clue
pista hint
botánico botanic
botánico botanical
botánico botanist
iglesias churches
composición composition
método method
concierto concerto
concierto concert
cuarta cuarta
cuarta fourth
agricultura agricultural
agricultura farming
agricultura agriculture
par pair
par raps
par torque
par par
capaz able
capaz capable
viejo viejo
viejo old
tratamiento treatment
palomar palomar
especiales specials
especiales special
nueve nueve
nueve nine
bosque woods
bosque forest
bosque forests
ganado earned
ganado won
ganado livestock
ganado cattle
carga load
carga cargo
carga loading
carga upload
carga charge
carga loads
quiere wants
letra lyrics
letra letter
letra handwriting
debutó debuted
necesidad need
necesidad necessity
diócesis diocese
dejar leave
consiste consists
registro register
registro record
registro registry
registro registration
regreso comeback
regreso return
regreso back
duración duration
duración durability
complejo complex
acto act
life life
indica indicates
indica indica
fundó founded
bandas bands
bandas gangs
voto vote
nicolás nicolas
nicolás nicolás
nicolás nicholas
arquitecto architect
convierte converts
solar solar
perdió lost
playa beach
playa playa
playa beaches
rango range
rango rank
cantantes singers
arriba top
arriba up
arriba above
arriba upstairs
latina latin
latina latina
conseguir get
femenino feminine
femenino female
femenino women
regresó returned
instalaciones installs
instalaciones facilities
instalaciones installations
vive vive
vive live
vive lives
cosa thing
derrota defeats
derrota defeat
vii vii
king king
sola sola
sola alone
basada based
césar caesar
césar césar
castellano castilian
castellano castellano
castellano spanish
urbano urban
international international
forman forman
oriente east
oriente orient
campeones champions
campeones champs
leyes statutes
leyes law
leyes laws
estructuras structures
entrevista interview
niveles levels
arco arc
arco arch
arco arco
arco bow
justo justo
justo fair
ficción fiction
socialista socialist
administrativa administrative
difícil tricky
difícil hard
difícil difficult
one one
novelas novels
conocidos known
conocidos acquaintances
conocidos acquaintance
super super
discos discos
discos disks
discos records
discos discs
simple simple
listas ready
listas playlists
listas lists
sebastián sebastian
sebastián sebastián
histórica historic
histórica historical
diputado deputy
diputado mep
diputado congressman
ideas ideas
ojos eyes
continuó continued
músico musician
busca pager
números numbers
destino destination
destino destiny
destino fate
comarca region
comarca shire
comarca comarca
vasco basques
vasco vasco
vasco basque
contacto contact
reforma reformation
reforma reform
teniendo taking
teniendo having
carreras runs
carreras races
carreras racing
carreras careers
single single
expedición expedition
invierno winter
llegaron arrived
nadie nobody
diferente different
park park
romana roman
romana romana
barrios neighbourhoods
barrios barrios
barrios neighborhoods
barrios slums
barrios districts
barrios slum
cree cree
cree believes
ofrece offers
navarra navarre
navarra navarra
lanzó pitched
lanzó launched
relevancia relevance
ancho width
ancho gauge
ancho wide
grabación recording
esas those
boca mouth
boca boca
panamá panama
panamá panamá
universal universal
completa complete
producido produced
negra black
dando giving
variedad manifold
variedad variety
dominio domain
dominio domination
dominio dominion
dominio dominance
trabajadores workers
trabajadores workmen
star star
valores securities
valores values
propios own
mas mas
mas more
movimientos movements
movimientos moves
movimientos movement
océano oceans
océano ocean
promedio average
promedio avg
árabe arab
árabe arabic
aplicación implementation
aplicación application
aplicación app
ámbito scope
refiere refers
famoso famous
famoso celebrity
interpretación interpretation
interpretación interpreting
competición competition
compuesta composed
publicada published
publicada posted
terreno land
terreno terrain
terreno ground
respectivamente respectively
entró entered
similares similar
similares lookalike
construir construct
construir build
toledo toledo
periódico periodical
periódico newspaper
noticias news
miss miss
normalmente usually
normalmente typically
normalmente normally
trayectoria trajectory
piloto pilot
torno lathe
unió united
abogado counsel
abogado attorney
abogado lawyer
chicago chicago
figuras figurines
figuras figures
clásico classical
clásico classic
ópera opera
candidato candidate
debería should
desarrollado developed
municipales municipal
designado designated
designado appointed
electoral electoral
activo active
activo assets
activo asset
irlanda irish
irlanda ireland
detrás behind
llegando arriving
llegando coming
xii xii
descripción description
aspecto appearance
aspecto aspect
aspecto looks
solicita requests
málaga malaga
málaga málaga
vídeo video
presión pressure
conciertos concerts
conciertos gigs
conciertos concert
vecinos neighbors
vecinos neighbours
lorenzo laurence
lorenzo lorenzo
lorenzo lawrence
federico friedrich
federico frederic
federico frederick
federico federico
competencia competitors
competencia jurisdiction
competencia competence
competencia competition
sky sky
punta punta
punta tip
punta point
fórmula formula
núcleo core
núcleo nucleus
núcleo kernel
illinois illinois
galería galleries
galería gallery
humana human
cambiar changing
cambiar change
nelson nelson
asturias asturias
verdad true
verdad truth
une joins
une unites
une une
joaquín joaquin
joaquín joaquín
joaquín joachim
juventud youth
golpe coup
golpe stroke
avión aircraft
avión plane
avión aeroplane
avión airplane
estadounidenses americans
masa dough
masa mass
masa masa
bosques forestry
bosques woods
bosques forests
bosques forest
bienes goods
bienes assets
egipto egypt
egipto egyptian
moderna modern
intento attempted
intento attempt
textos texts
presentación presentation
presentación slideshow
presentación submission
muerto dead
escribir write
escribir typing
escribir writing
históricos historic
históricos historical
reserva reservation
reserva booking
reserva reserve
públicas public
live live
árboles tree
árboles trees
culturales cultural
comienzo start
comienzo beginning
denominación naming
denominación name
denominación designation
denominación denomination
hábitat habitat
lenguaje language
asistencia attendance
asistencia assistance
judíos jewish
judíos jews
expresión expression
inicial initial
ejecutivo executive
portugués portuguese
bélgica belgium
bélgica belgian
órdenes orders
ignacio ignacio
ignacio ignatius
torneos tournaments
torneos tournament
corto short
chileno chilean
populares popular
usando using
hotel hotel
clara clare
clara clara
normal normal
tampoco neither
tampoco nor
búsqueda search
sello stamp
sello seal
revistas journals
revistas magazine
revistas magazines
teniente lieutenant
investigaciones researches
investigaciones investigations
investigaciones inquiries
investigaciones research
álvarez álvarez
álvarez alvarez
mark mark
mendoza mendoza
comerciales commercials
comerciales commercial
titulado titled
titulado entitled
residencia residence
residencia residency
jazz jazz
indígenas indigenous
massachusetts massachusetts
jack jack
café coffee
café cafe
café café
hierro iron
nuestro our
nuestro ours
latín latin
oposición opposition
vías pathways
árbol tree
global global
escala scale
salió exited
bueno good
bueno well
muertos dead
valladolid valladolid
bogotá bogotá
bogotá bogota
reales real
reales reals
reales royal
comunidades communities
pierre pierre
marcos marcos
marcos mark
marcos frames
vivir living
vivir live
die die
fama reputation
fama fame
united united
gabriel gabriel
debía owed
votación voting
votación vote
votación ballot
apenas barely
apenas hardly
biografía timeline
biografía biography
biografía bio
vino wine
alonso alonso
alonso alonzo
caída falling
caída crash
caída fall
sonora sonora
únicamente only
visión vision
arena arena
arena sand
límite boundary
límite limit
entrar entering
entrar enter
noruega norwegian
noruega norway
canales channels
canales canals
canales channel
materia matter
roja red
data data
regular regulating
regular regular
regular regulate
promoción advocacy
promoción promotional
promoción promotion
salir exit
autoridad authority
bellas bellas
caracas caracas
pasando passing
demasiado too
accidente accident
accidente crash
accidente accidents
manga manga
manga sleeve
medidas measurements
medidas measures
siguió followed
dejando leaving
críticas criticism
críticas criticisms
críticas critics
críticas critiques
críticas reviews
bajas casualties
bajas low
bajas casualty
asuntos affairs
asuntos issues
aviones aeroplanes
aviones airplanes
aviones aircraft
aviones planes
conquista conquest
conquista conquer
cuartos rooms
cuartos quarters
células cells
alemanes german
alemanes germans
laguna pond
laguna laguna
laguna lake
laguna lagoon
montevideo montevideo
protagonista protagonist
protagonista starring
pérdida loss
corresponde corresponds
alma alma
alma soul
caballero knight
caballero gentleman
caballero caballero
retiro retiro
retiro retirement
retiro withdrawal
retiro retreat
enciclopedia encyclopedia
enciclopedia encyclopaedia
jaime james
jaime jamie
jaime jimmy
jaime jaime
dinastía dynasty
aspectos aspects
procesos process
procesos processes
salón lounge
salón salon
salón hall
ataques attacks
ataques seizures
tony tony
breve short
breve brief
zip zip
universo universe
imperial imperial
sitios websites
sitios sites
sitios places
bot bot
são são
emisión emission
emisión broadcast
abajo down
abajo below
abajo downstairs
trasladó relocated
múltiples multiple
homenaje tribute
homenaje homage
guardia guards
guardia guard
miles miles
miles thousands
rural rural
pantalla screen
pantalla display
convento convent
clásica classical
clásica classic
grabado engraving
grabado engraved
grabado recorded
grabado etching
considerada considered
considerada considerate
corriente current
quinto fifth
quinto quintus
legislatura legislature
puertas gates
puertas door
puertas doors
ruiz ruiz
disponible available
ocasión occasion
mantiene maintains
mantiene keeps
dulce sweet
dulce dulce
dulce candy
óscar oscar
óscar óscar
tribunal tribunal
tribunal court
tribunal courtroom
profesores professors
profesores teachers
profesores faculty
posiciones positions
últimas latest
honduras honduran
honduras honduras
conferencia conference
conferencia lecture
tom tom
dvd dvd
dvd dvds
comentarios feedback
comentarios comments
reinado reign
royal royal
naval naval
convertirse become
científico scientist
científico scientific
plano map
plano flat
plano plane
plano plan
oportunidad chance
oportunidad opportunity
documentos documents
viene comes
viene coming
anual yearly
anual annual
elemento item
elemento element
destacado highlighted
destacado featured
destacado highlight
universitario university
time time
actos acts
west west
agustín agustín
agustín augustin
agustín agustin
agustín augustine
vega vega
infantil infantile
infantil childish
infantil childlike
escenario scenario
escenario stage
comienzos beginnings
brown brown
flota fleet
flota floats
aun even
clave password
clave key
css css
atlántico atlantic
habita dwells
habita inhabits
condición condition
jones jones
construida built
construida constructed
moscú moscow
hernández hernandez
hernández hernández
hernández thomson
profesionales professionals
profesionales pros
profesionales professional
quién who
cuestión issue
cuestión question
aumento increase
aumento increasing
aumento raise
aumento increased
encontrado found
mejorar improving
mejorar enhance
mejorar improve
comunes common
comunes commons
víctor victor
youtube youtube
públicos audiences
públicos public
rojas rojas
rojas red
caja box
caja caja
caja cashier
guerras wars
formada formed
cabecera header
cabecera headboard
territorial territorial
declaró declared
declaró stated
var var
recién freshly
recién newly
responsable responsible
responsable maintainer
cortes courts
cortes cortes
cortes cuts
guadalajara guadalajara
dedicado devoted
dedicado dedicated
org org
instrumentos instruments
instrumentos tools
ciclo cycle
incluido included
incluido including
señal signal
señal sign
logra achieves
amplia wide
amplia ample
amplia broad
williams williams
murcia murcia
vehículos vehicles
und und
franceses frenchmen
franceses french
hungría hungary
hungría hungarian
civiles civilian
civiles civilians
liberal liberal
catalán catalan
catalán catalonian
intención intention
intención intent
tropical tropical
ejemplos examples
secundaria secondary
masculino masculine
masculino male
altos altos
altos highs
xiv fourteenth
xiv xiv
realmente truly
realmente really
doce twelve
doce doce
americano americano
americano american
burgos burgos
siguiendo following
recientemente recently
instrumento instrument
instrumento tool
salamanca salamanca
ayudar helping
ayudar help
portada cover
identidad identities
identidad identity
pasajeros passengers
pasajeros passenger
suficiente enough
suficiente sufficient
mezcla mixing
mezcla mix
mezcla mixture
mezcla blend
mezcla blending
buscar search
infantería infantry
culto cult
culto worship
historias tales
historias stories
historias histories
historias storytelling
duda doubt
duda doubts
big big
pies feet
pies toes
pies ft
ida ida
metropolitana metropolitan
url url
url urls
recorrido tour
comunista communists
comunista communist
leyenda legend
leyenda legends
comedia comedy
barco ship
barco boat
mañana tomorrow
mañana morning
tomás tomás
tomás thomas
tomás tom
fotografía photograph
fotografía photography
fotografía cinematography
fotografía photo
romanos romans
romanos roman
etiqueta etiquette
etiqueta tag
etiqueta label
ohio ohio
cable cable
propias own
mensaje message
hugo hugo
hugo hugh
décadas decades
poderes powers
permanente permanent
permanente perm
anime anime
antiguas antique
antiguas ancient
química chemical
química chemistry
plataforma platform
razones reasons
poblaciones populations
poblaciones stocks
potencia horsepower
potencia potency
potencia power
espíritu spirit
pro pro
artístico artistic
house house
vivió lived
rol role
tren train
juvenil juvenile
misiones misiones
misiones missions
misiones quests
princesa princess
college college
audiencia audience
entrega delivery
valign valign
invasión invasion
límites boundaries
límites limits
enseñanza teaching
enseñanza education
asteroides asteroid
asteroides asteroids
correspondiente corresponding
reconocido recognised
reconocido acknowledged
reconocido recognized
corta cut
corta short
reunión gathering
reunión meeting
reunión reunion
ocupa occupies
estándar standard
representantes reps
representantes representatives
frank frank
programación schedule
programación programming
programación scheduling
entidad entity
compañeros partners
compañeros colleagues
compañeros classmates
compañeros companions
compañeros comrades
animal animal
recibido received
grand grand
escultura sculpture
escultura sculptures
saga saga
destacar highlight
motivos reasons
motivos pleas
motivos motifs
motivos motives
espacios spaces
introducción introduction
introducción intro
fuertes strong
fuertes forts
bases databases
bases bases
sureste southeast
sureste southeastern
bretaña brittany
chino chino
chino chinese
chino chinaman
viii viii
entorno environment
entorno surroundings
récord record
fauna fauna
fauna wildlife
raíz root
profundidad depth
sirve serves
japonesa japanese
crea creates
crea create
científicos scientific
científicos scientists
cabe cabe
cabe fits
universidades universities
universidades university
universidades colleges
termina ends
ciudadanos citizens
ciudadanos citizen
símbolo symbol
copias copies
virginia virginia
descrita described
primaria elementary
primaria primary
distritos districts
estrenó premiered
rápido quick
rápido fast
rápido quickly
moderno modern
eléctrica electrical
eléctrica electric
zelanda zealand
zelanda zeeland
moreno brown
moreno moreno
destacados highlighted
destacados highlights
destacados featured
utilizando using
pocas few
paulo paulo
pobreza poverty
film film
fachada facade
fachada front
fachada façade
error mistake
error error
ministros ministers
ventas sales
conservación conservation
conservación preservation
cambió changed
scott scott
contexto context
propiedades property
propiedades properties
historiador historian
enfermedades illnesses
enfermedades illness
enfermedades diseases
prácticamente virtually
prácticamente practically
cola queue
cola tail
cola glue
cola cola
exteriores outdoor
exteriores exterior
constante steady
constante constant
asesinato assassination
asesinato murder
cádiz cadiz
cádiz cádiz
natal natal
celebra celebrates
celebra celebrate
recibir receive
recibir receiving
lograr achieving
lograr achieve
juntos together
individuales singles
individuales individual
individuales individuals
fábrica factory
machos males
machos male
hacienda hacienda
hacienda irs
hacienda treasury
paris paris
chan chan
chilena chilean
sufrió suffered
restauración catering
restauración restoration
roca rock
roca roca
cargos charges
cargos charge
prisión jail
prisión prison
dirigente leader
inicios beginnings
consta consists
dedicada dedicated
religiosos religious
pintores painters
filipinas philippines
filipinas philippine
privada private
intervención intervention
juicio judgment
juicio trial
escenas scenes
ingreso income
europeos european
europeos europeans
permaneció remained
documental documentary
ascendencia ancestry
ascendencia descent
expansión expanding
expansión expand
expansión expansion
convertido converted
entrenadores coaches
entrenadores trainers
igualmente also
igualmente equally
igualmente similarly
igualmente likewise
tradicionales traditional
cápita capita
pan pan
pan bread
quinta quinta
quinta fifth
trono throne
noreste northeastern
noreste northeast
inmediatamente immediately
familiar familiar
familiar family
familiar familial
riesgo risk
desambiguación disambiguation
hablar talk
hablar speak
inicia begins
inicia initiates
inicia starts
inicia initiate
windows windows
ermita chapel
ermita hermitage
caza hunts
caza hunt
caza hunting
reacción reaction
llamados called
humanidad humanity
guerrero warrior
guerrero guerrero
seguido followed
tramo stretch
tramo tranche
uefa uefa
representante representative
empieza begins
empieza starts
rugby rugby
chris chris
dakota dakota
galicia galician
galicia galicia
comprende understands
max max
pensilvania pennsylvania
cubierta covered
cubierta cover
cubierta deck
caribe caribbean
perfil profile
escocia scotland
png png
definición definition
simon simon
establecer establish
amarillo yellow
amarillo amarillo
piel leather
piel fur
piel skin
sergio sergey
sergio sergio
sergio sergei
primavera spring
primavera primavera
primavera springtime
mariano mariano
mariano marian
gas gas
solución solution
diferencias diff
diferencias differences
dominicana dominican
dimensiones dimensions
dimensiones dimension
objetivos objectives
objetivos goals
objetivos aims
objetivos targets
fusión merger
fusión merging
fusión merge
fusión fusion
coro choir
coro chorus
coro choral
eje axle
eje axis
america america
pone puts
pone lays
mary mary
regimiento regiment
regimiento regimental
formando forming
nacidos born
php php
canto song
canto canto
canto chant
canto chanting
canto sing
canto singing
licencia license
licencia licensed
licencia licensing
licencia licence
idiomas languages
idiomas language
directa direct
viena vienna
bolívar bolivar
bolívar bolívar
posiblemente possibly
continente mainland
continente continent
cartas cards
cartas letters
corrientes corrientes
corrientes flows
corrientes currents
femenina feminine
poemas poems
presentado presented
presentado submitted
presentado filed
facebook facebook
palma palma
palma palm
enemigo enemy
enemigo foe
cielo heaven
cielo sky
cielo heavens
dinamarca denmark
dinamarca danish
excepto except
minnesota minnesota
producir produce
producir producing
pico pico
pico peak
conserva preserves
conserva conserve
arma weapon
arma gun
religiosa religious
cementerio cemetery
cementerio graveyard
resolución resolution
peña pena
peña peña
violencia violence
describe describes
describe describe
terminología terminology
adaptación adapting
adaptación adaptive
adaptación adaptation
adaptación adapt
voces vocals
voces voices
utilizada utilized
utilizada used
utilizada utilised
bob bob
individual individually
individual individual
once eleven
once once
descubiertos discovered
descubiertos overdraft
esperanza esperanza
esperanza hope
consumo consumption
compañero partner
compañero roommate
compañero companion
medieval medieval
amplio wide
amplio ample
amplio broad
amplio spacious
teresa teresa
teresa theresa
agente agent
alumnos pupils
alumnos students
alumnos alumni
cuentos tales
cuentos stories
impacto impact
alfredo alfredo
alfredo alfred
trabajando working
emilio emile
emilio templeton
emilio emil
emilio emilio
kansas kansas
blue blue
secreto secret
secreto secrecy
propósito purpose
colombiano columbian
colombiano colombian
inferiores inferior
peligro peril
peligro danger
peligro hazard
peligro endangered
arroyo stream
arroyo brook
arroyo creek
arroyo arroyo
latino latin
latino latino
rama bough
rama ram
rama rama
rama branch
argentinos argentines
argentinos argentinian
argentinos argentine
característica characteristic
característica feature
raúl raoul
raúl raul
raúl rna
raúl raúl
mantenimiento maintenance
morales moral
morales morales
estudiar studying
estudiar study
society society
comentario comment
comentario commentary
comentario comments
ramírez ramírez
ramírez ramirez
circuito circuit
sexual sexual
libres free
llevado carried
planes plans
jackson jackson
enemigos foes
enemigos enemy
enemigos haters
enemigos foe
enemigos enemies
fácil easy
silva silva
compositores composers
compositores songwriters
diámetro diameter
éxitos successes
éxitos hits
éxitos success
artística artistic
victorias wins
victorias victories
puestos positions
puestos posts
puestos stalls
pieza piece
científica scientist
científica scientific
guía guide
podrían could
arturo arthur
arturo arturo
superiores superior
superiores superiors
frase phrase
frase sentence
cuerpos bodies
renta rent
renta income
negocios businesses
negocios business
ben ben
excepción exception
excepción derogation
gustavo gustav
gustavo gustavo
gustavo gustaf
gustavo kermit
monumentos sightseeing
monumentos monuments
nace nace
funcionamiento operation
funcionamiento functioning
funcionamiento operating
griega greek
víctimas casualties
víctimas victims
cita appointment
cita quote
cita date
cita quotation
terminar finish
guitarrista guitarist
ciertos certain
turquía turkey
turquía turkish
triunfo win
triunfo trump
triunfo triumph
llegado arrived
walter walter
young young
cristianos christian
cristianos christians
gutiérrez gutiérrez
gutiérrez gutierrez
cantabria cantabria
descubierto discovered
descubierto uncovered
cáncer cancer
métodos methods
delantero forward
delantero front
delantero striker
suroeste southwestern
suroeste southwest
indiana indiana
puebla puebla
trabaja works
min min
caballeros gentlemen
caballeros knights
caballeros gentleman
caballeros gents
minas minas
minas mines
comportamiento behaviour
comportamiento behavior
comportamiento behavioral
sucedió succeeded
sucedió happened
originales original
originales originals
nuclear nuclear
nuclear nuke
billboard billboard
escritos written
escritos writings
santander santander
viento winds
viento windy
viento wind
americana american
americana americana
group group
normas rules
normas standards
sectores sectors
cónyuge spouse
espectadores spectators
espectadores viewers
rusa russian
salas salas
salas rooms
salas chambers
peruano peruvian
liberación release
liberación liberation
pez fish
quería wanted
atenas athens
momentos moments
fifa fifa
aplicaciones applications
aplicaciones apps
intenta tries
air air
georgia georgia
hielo ice
caballo horse
caballo horseback
steve steve
significado meaning
significado significance
cinturón belts
cinturón seatbelt
cinturón belt
cordillera range
cordillera cordillera
judicial judicial
protagonizada starring
crítico reviewer
crítico critic
crítico critical
sirvió served
interpretado portrayed
interpretado interpreted
mis mis
mis my
motores engine
motores motors
motores engines
posibles possible
ganadores winners
pilotos drivers
pilotos pilots
mike mike
foto picture
foto photo
wilson wilson
británicos british
británicos brits
joe joe
sueño sleepy
sueño sleep
sueño dream
guinea guinea
informe report
treinta treinta
treinta thirties
treinta thirty
cercano nearby
tráfico traffic
tráfico trafficking
contó recounted
órgano organ
medallas medal
medallas medals
constituye constitutes
archivos files
archivos archives
archivos archive
fechas dates
dobles doubles
dobles double
directores directors
directores managers
físico physique
físico physicist
físico physical
democracia democracy
mediterráneo mediterranean
convirtiéndose becoming
opción option
opción choice
perdido missed
perdido lost
notable remarkable
notable noteworthy
notable notable
tengo got
legal legit
legal legal
tercero third
enorme huge
enorme enormous
constitucional constitutional
constitucional constitution
plazo deadline
católicos catholics
católicos catholic
escritura writing
escritura write
escritura handwriting
cuyos whose
estadísticas statistics
estadísticas stats
documento document
críticos critics
críticos critical
iowa iowa
cristiana christian
ordenó ordered
oscar oscar
transmisión transmission
transmisión broadcast
carne steak
carne meat
carne beef
poetas poets
ucrania ukraine
ucrania ukrainian
desarrollar develop
ocurre happens
ocurre occurs
enviado shipped
enviado envoy
enviado submitted
enviado sent
street street
vehículo vehicle
reparto cast
reparto distribution
producida produced
círculo circle
harry harry
ciertas certain
alimentos food
alimentos foods
urbana urban
urbana urbana
participa participates
participa participate
association association
casado married
semifinales semifinals
abierta open
habitual habitual
habitual usual
agencia agency
popularidad popularity
votar voting
pinturas paints
pinturas paintings
terminal terminal
terminal terminus
janeiro janeiro
iniciativa initiative
redes networking
redes grids
redes nets
redes networks
estreno premiere
aparte aside
aparte apart
localización localisation
localización location
localización localization
fortaleza fortitude
fortaleza fortaleza
fortaleza strength
fortaleza fortress
fortaleza fort
deriva drift
deriva drifting
democrática democratic
marido husband
electrónica electronics
electrónica electronic
cristóbal cristobal
cristóbal cristóbal
cristóbal christopher
herrera herrera
buques ships
buques vessels
diccionario dictionary
profesión profession
profesión occupation
consigue get
consulta query
consulta consultation
consulta consult
historiadores historians
mitología mythology
debate discussion
debate debate
debate debates
perder losing
perder lose
componentes components
belleza beauty
descubre discover
descubre discovers
jiménez jiménez
jiménez jimenez
personales personal
ácido acid
cumplir fulfill
cumplir comply
infancia childhood
infancia children
líderes leaders
espacial spatial
espacial space
predecesor predecessor
oscuro dark
oscuro obscure
verdadero real
verdadero true
segundos seconds
segundos second
margen margin
cañón cannon
cañón canyon
cañón barrel
religioso religious
net net
zamora zamora
relativamente relatively
columna column
columna spine
high high
danza dance
danza dancing
veinte twenty
veinte twenties
veinte veinte
desarrolla develops
desarrolla develop
periodistas reporters
periodistas journalists
asunción assumption
asunción asunción
fondos funds
fondos backgrounds
fondos fund
factores factors
barcos ships
barcos vessels
barcos boats
salvo salvo
salvo except
chica girl
precio price
precio pricing
pensamiento thought
pensamiento thinking
pensamiento thoughts
leer read
leer reading
declaración statement
declaración declaration
deportistas sportsmen
deportistas athletes
mala bad
mala mala
asesinado murdered
asesinado assassinated
asesinado killed
argumento plot
argumento argument
online online
portal portal
portal gateway
médicos physicians
médicos medical
médicos doctors
sacerdote priest
night night
buenas good
cultivo culture
cultivo cultivation
cultivo crop
nicaragua nicaraguan
nicaragua nicaragua
económicas economics
económicas economic
guion screenplay
guion script
regionales regional
regionales regionals
rodrigo rodrigo
arzobispo archbishop
mancha mancha
mancha stain
mancha smudge
conocidas known
retirado retired
inteligencia intelligence
inteligencia intel
envió sent
baile dance
baile dancing
fundamental fundamental
viviendas homes
viviendas housing
disney disney
relevante relevant
fox fox
establece establishes
paseo ride
paseo paseo
paseo walk
albert albert
menciona mentions
menciona mention
green green
famosa famous
obtiene gets
obtiene obtains
brian brian
romero romero
romero rosemary
espera waits
espera wait
encargado commissioned
encargado maintainer
compañías companies
retiró withdrew
actuaciones performances
diseñado designed
reciente recent
intereses interests
intereses interest
senado senate
mercedes mercedes
christian christian
johnson johnson
edward edward
esteban stephen
esteban stefan
esteban esteban
videojuego videogame
coros choirs
vicepresidente vp
vicepresidente vice
plantillas templates
canarias canarias
canarias canaries
canarias canary
disputa disputed
disputa dispute
ave ave
ave bird
astronómicos astronomical
post post
participaron participated
globo globo
globo balloon
globo globe
valenciana valencian
den den
orígenes origins
éstos these
económicos economic
aliados allied
aliados allies
rally rally
detalles details
salto jump
salto skip
salto salto
salto jumping
salto hop
state state
marine marine
bilbao bilbao
rivera rivera
roger roger
colonial colonial
competiciones competitions
dictadura dictatorship
academy academy
medina medina
difusión diffusion
difusión dissemination
difusión broadcast
rio rio
rio river
alcanza reaches
ejecución execution
ensayo essay
ensayo testing
ensayo rehearsal
ensayo trial
ensayo test
lucas luke
lucas lucas
independientes independents
independientes freelancers
independientes independent
joan joan
boston boston
reglas rules
viernes friday
viernes fridays
suerte lucky
suerte luck
golfo gulf
nobles nobles
nobles noble
augusto augusto
augusto augustus
radical radical
tratar try
tratar treat
yucatán yucatán
yucatán yucatan
establecido established
bruselas brussels
mandato mandate
trenes train
trenes trains
feria fair
comida food
apellido surname
etapas phases
etapas stages
comunas communes
seguro safe
seguro sure
seguro insurance
seguro secure
fotos photographs
fotos photos
fotos pictures
amistad friendship
entra enters
entra enter
hill hill
particularmente particularly
extranjeros aliens
extranjeros foreigner
extranjeros foreigners
extranjeros foreign
artillería ordnance
artillería artillery
concentración concentration
concentración focus
contar counting
abrió opened
máquina machine
frecuentemente frequently
frecuentemente often
lagos lagos
lagos lakes
lagos lake
montes montes
montes mountains
montes monti
hot hot
descriptiva descriptive
fruto fruit
manual handbook
manual manual
coche car
bernardo bernard
bernardo bernhard
bernardo bernardo
brasileño brazilian
terrenos plots
terrenos land
terrenos terrain
miranda miranda
ceremonia ceremony
ceremonia ceremonies
columbia columbia
lejos far
lejos away
conflictos conflicts
conflictos conflict
fallecidos deceased
alicante alicante
pregunta question
pregunta ask
drama drama
juez judge
familiares relatives
familiares family
patrón pattern
patrón skipper
patrón patron
requiere require
requiere requires
sons sons
afirma affirms
afirma asserts
ala wing
ala ala
continental continental
endémica endemic
taylor taylor
sexo gender
sexo sex
miami miami
celebración celebration
day day
previamente previously
mínimo minimum
mínimo minimal
macdonald macdonald
abarca encompasses
abarca covers
literaria literary
milán milan
tomo tome
descenso decline
descenso decrease
descenso descent
descritos described
viajes travels
viajes travel
viajes trips
bloqueo lock
bloqueo locking
bloqueo blockade
bloqueo blocking
bloqueo block
empleados employee
empleados employees
dada dada
poblado populated
poblado village
batallas battle
batallas battles
